"Package","Version","Priority","Role"
"abind","1.4-8","","transitive"
"ape","5.8-1","","Imports"
"arm","1.15-3","","transitive"
"askpass","1.2.1","","transitive"
"backports","1.5.1","","transitive"
"base64enc","0.1-6","","transitive"
"bit","4.6.0","","transitive"
"bit64","4.6.0-1","","transitive"
"boot","1.3-32","recommended","transitive"
"bootnet","1.9.1","","Imports"
"brio","1.1.5","","transitive"
"broom","1.0.12","","transitive"
"bslib","0.10.0","","transitive"
"cachem","1.1.0","","transitive"
"callr","3.7.6","","transitive"
"checkmate","2.3.4","","transitive"
"class","7.3-23","recommended","transitive"
"cli","3.6.5","","transitive"
"clipr","0.8.0","","transitive"
"cluster","2.1.8.2","recommended","transitive"
"clusterGeneration","1.3.8","","transitive"
"cocor","1.1-4","","transitive"
"coda","0.19-4.1","","transitive"
"codetools","0.2-19","recommended","transitive"
"colorspace","2.1-3","","transitive"
"compiler","4.5.3","base","transitive"
"corpcor","1.6.10","","transitive"
"corrplot","0.95","","transitive"
"cpp11","0.5.4","","transitive"
"crayon","1.5.3","","transitive"
"curl","7.0.0","","transitive"
"data.table","1.18.2.1","","transitive"
"desc","1.4.3","","transitive"
"diffobj","0.3.6","","transitive"
"digest","0.6.39","","transitive"
"doParallel","1.0.17","","transitive"
"dplyr","1.2.1","","Imports"
"e1071","1.7-17","","transitive"
"eigenmodel","1.12","","transitive"
"ellipse","0.5.0","","transitive"
"evaluate","1.0.5","","transitive"
"farver","2.1.2","","transitive"
"fastDummies","1.7.6","","transitive"
"fastmap","1.2.0","","transitive"
"fdrtool","1.2.18","","transitive"
"filelock","1.0.3","","transitive"
"fontawesome","0.5.3","","transitive"
"forcats","1.0.1","","Imports"
"foreach","1.5.2","","transitive"
"foreign","0.8-91","recommended","transitive"
"Formula","1.2-5","","transitive"
"fs","2.0.1","","Imports"
"gdata","3.0.1","","transitive"
"generics","0.1.4","","transitive"
"ggplot2","4.0.2","","Imports"
"glasso","1.11","","transitive"
"glassoFast","1.0.1","","transitive"
"glmnet","5.0","","Suggests"
"glue","1.8.0","","transitive"
"GPArotation","2026.6-1","","transitive"
"graphicalVAR","0.4.1","","Suggests"
"graphics","4.5.3","base","transitive"
"grDevices","4.5.3","base","transitive"
"grid","4.5.3","base","transitive"
"gridExtra","2.3","","transitive"
"gsubfn","0.7","","transitive"
"gtable","0.3.6","","transitive"
"gtools","3.9.5","","transitive"
"haven","2.5.5","","transitive"
"highr","0.12","","transitive"
"Hmisc","5.2-6","","transitive"
"hms","1.1.4","","transitive"
"htmlTable","2.5.0","","transitive"
"htmltools","0.5.9","","transitive"
"htmlwidgets","1.6.4","","transitive"
"httr","1.4.8","","transitive"
"igraph","2.3.3","","transitive"
"IsingFit","0.4","","Imports"
"IsingSampler","0.5.0","","Imports"
"isoband","0.3.0","","transitive"
"iterators","1.0.14","","transitive"
"jomo","2.7-6","","transitive"
"jpeg","0.1-11","","transitive"
"jquerylib","0.1.4","","transitive"
"jsonlite","2.0.0","","Suggests"
"knitr","1.51","","transitive"
"labeling","0.4.3","","transitive"
"lattice","0.22-9","recommended","transitive"
"lavaan","0.7-2","","Suggests"
"lifecycle","1.0.5","","transitive"
"lme4","2.0-6","","transitive"
"magrittr","2.0.5","","Imports"
"mantar","0.3.1","","transitive"
"MASS","7.3-65","recommended","Suggests"
"mathjaxr","2.0-0","","transitive"
"Matrix","1.7-4","recommended","Imports"
"memoise","2.0.1","","transitive"
"methods","4.5.3","base","Imports"
"mgcv","1.9-4","recommended","transitive"
"mgm","1.2-15","","Imports"
"mice","3.19.0","","transitive"
"mime","0.13","","transitive"
"minqa","1.2.8","","transitive"
"mitml","0.4-5","","transitive"
"mlVAR","0.7.3","","Suggests"
"mnormt","2.1.2","","transitive"
"MplusAutomation","1.3","","transitive"
"mvtnorm","1.4-2","","transitive"
"NetworkToolbox","1.4.4","","Imports"
"networktools","1.6.0","","Imports"
"nlme","3.1-168","recommended","transitive"
"nloptr","2.2.1","","transitive"
"nnet","7.3-20","recommended","transitive"
"nnls","1.6","","transitive"
"numDeriv","2016.8-1.1","","transitive"
"openssl","2.3.5","","transitive"
"optimx","2025-4.9","","transitive"
"ordinal","2025.12-29","","transitive"
"pan","2.0","","transitive"
"pander","0.6.6","","transitive"
"parabar","1.4.2","","transitive"
"parallel","4.5.3","base","Imports"
"patchwork","1.3.2","","transitive"
"pbapply","1.7-4","","transitive"
"pbivnorm","0.6.0","","transitive"
"pbv","0.5-47","","transitive"
"pillar","1.11.1","","transitive"
"pkgbuild","1.4.8","","transitive"
"pkgconfig","2.0.3","","transitive"
"pkgload","1.5.1","","transitive"
"plotrix","3.8-14","","transitive"
"plyr","1.8.9","","transitive"
"png","0.1-9","","transitive"
"polynom","1.4-1","","transitive"
"powerly","1.10.0","","Suggests"
"ppcor","1.1","","transitive"
"pracma","2.4.6","","transitive"
"praise","1.0.0","","transitive"
"prettyunits","1.2.0","","transitive"
"processx","3.8.7","","transitive"
"progress","1.2.3","","transitive"
"proto","1.0.0","","transitive"
"proxy","0.4-29","","transitive"
"ps","1.9.2","","transitive"
"psych","2.6.5","","Imports"
"psychonetrics","0.16.9","","Suggests"
"purrr","1.2.1","","Imports"
"pwr","1.3-0","","transitive"
"qgraph","1.10.1","","Imports"
"quadprog","1.5-8","","transitive"
"R.matlab","3.7.0","","transitive"
"R.methodsS3","1.8.2","","transitive"
"R.oo","1.27.1","","transitive"
"R.utils","2.13.0","","transitive"
"R6","2.6.1","","transitive"
"rappdirs","0.3.4","","transitive"
"rbibutils","2.4.1","","transitive"
"rcmdcheck","1.4.0","","check-tool"
"RColorBrewer","1.1-3","","transitive"
"Rcpp","1.1.2","","transitive"
"RcppArmadillo","15.4.2-1","","transitive"
"RcppEigen","0.3.4.0.2","","transitive"
"Rdpack","2.6.6","","transitive"
"readr","2.2.0","","transitive"
"reformulas","0.4.4","","transitive"
"reshape2","1.4.5","","Imports"
"rlang","1.1.7","","transitive"
"rmarkdown","2.31","","transitive"
"roptim","0.1.7","","transitive"
"rpart","4.1.24","recommended","transitive"
"rprojroot","2.1.1","","transitive"
"rstudioapi","0.18.0","","transitive"
"S7","0.2.1","","transitive"
"sass","0.4.10","","transitive"
"scales","1.4.0","","Imports"
"sessioninfo","1.2.3","","transitive"
"shape","1.4.6.1","","transitive"
"smacof","2.1-7","","transitive"
"snow","0.4-4","","transitive"
"splines","4.5.3","base","transitive"
"splines2","0.5.4","","transitive"
"stats","4.5.3","base","transitive"
"stats4","4.5.3","base","transitive"
"stringi","1.8.7","","transitive"
"stringr","1.6.0","","Imports"
"survival","3.8-6","recommended","transitive"
"sys","3.4.3","","transitive"
"testthat","3.3.2","","Suggests"
"texreg","1.39.5","","transitive"
"tibble","3.3.1","","transitive"
"tidyr","1.3.2","","Imports"
"tidyselect","1.2.1","","transitive"
"tinytex","0.59","","transitive"
"tools","4.5.3","base","transitive"
"tzdb","0.5.0","","transitive"
"ucminf","1.2.3","","transitive"
"utf8","1.2.6","","transitive"
"utils","4.5.3","base","transitive"
"vctrs","0.7.2","","transitive"
"viridisLite","0.4.3","","transitive"
"vroom","1.7.1","","transitive"
"waldo","0.6.2","","transitive"
"weights","1.1.2","","transitive"
"withr","3.0.2","","transitive"
"wordcloud","2.6","","transitive"
"xfun","0.57","","transitive"
"xopen","1.0.1","","transitive"
"xtable","1.8-8","","transitive"
"yaml","2.3.12","","transitive"
